processed 19032 tokens with 591 phrases; found: 612 phrases; correct: 234.
accuracy:  94.94%; precision:  38.24%; recall:  39.59%; FB1:  38.90
LOCAL_FISICO_AGUACURSO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_FISICO_AGUAMASSA: precision: 100.00%; recall:  66.67%; FB1:  80.00  2
LOCAL_FISICO_ILHA: precision:  20.00%; recall: 100.00%; FB1:  33.33  5
LOCAL_FISICO_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
LOCAL_FISICO_PLANETA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_FISICO_REGIAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
LOCAL_FISICO_RELEVO: precision:  33.33%; recall:  33.33%; FB1:  33.33  3
LOCAL_HUMANO_CONSTRUCAO: precision:  31.82%; recall:  24.14%; FB1:  27.45  22
LOCAL_HUMANO_DIVISAO: precision:  55.36%; recall:  43.36%; FB1:  48.63  112
LOCAL_HUMANO_OUTRO: precision:  25.00%; recall:  20.00%; FB1:  22.22  4
LOCAL_HUMANO_PAIS: precision:  78.21%; recall:  57.55%; FB1:  66.30  78
LOCAL_HUMANO_REGIAO: precision:  15.38%; recall:  25.00%; FB1:  19.05  13
 LOCAL_HUMANO_RUA: precision:  16.67%; recall:   7.69%; FB1:  10.53  6
LOCAL_VIRTUAL_COMSOCIAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
LOCAL_VIRTUAL_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_VIRTUAL_SITIO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
OBRA_ARTE_EDIFICIO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
OBRA_REPRODUZIDA_FILME: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
OBRA_REPRODUZIDA_LIVRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
OBRA_REPRODUZIDA_MUSICA: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
OBRA_REPRODUZIDA_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
OBRA_REPRODUZIDA_PROGRAMA: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
ORGANIZACAO_ADMINISTRACAO_SUB: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ORGANIZACAO_INSTITUICAO_SUB: precision:  25.00%; recall: 100.00%; FB1:  40.00  4
TEMPO_TEMPO_CALEND_DATA: precision:  34.42%; recall:  43.18%; FB1:  38.31  276
TEMPO_TEMPO_CALEND_HORA: precision:   0.00%; recall:   0.00%; FB1:   0.00  43
TEMPO_TEMPO_CALEND_INTERVALO: precision:   0.00%; recall:   0.00%; FB1:   0.00  20
